ZipCode,EstimatedCombinedRate,,,,
61778,0.0625,,,,
61790,0.0875,,,,
61791,0.0875,,,,
61799,0.0875,,,,
61801,0.09,,,,
61802,0.09,,,,
61803,0.09,,,,
61810,0.065,,,,
61811,0.065,,,,
61812,0.065,,,,
61813,0.0725,,,,
61814,0.065,,,,
61815,0.075,,,,
61816,0.075,,,,
61817,0.065,,,,
61818,0.0725,,,,
61820,0.09,,,,
61821,0.09,,,,
61822,0.09,,,,
61824,0.09,,,,
61825,0.09,,,,
61826,0.09,,,,
61830,0.0725,,,,
61831,0.065,,,,
61832,0.0925,,,,
61833,0.085,,,,
61834,0.065,,,,
61839,0.0825,,,,
61840,0.075,,,,
61841,0.065,,,,
61842,0.0625,,,,
61843,0.075,,,,
61844,0.065,,,,
61845,0.075,,,,
61846,0.065,,,,
61847,0.075,,,,
61848,0.065,,,,
61849,0.075,,,,
61850,0.065,,,,
61851,0.075,,,,
61852,0.075,,,,
61853,0.075,,,,
61854,0.0725,,,,
61855,0.0725,,,,
61856,0.0725,,,,
61857,0.065,,,,
61858,0.065,,,,
61859,0.085,,,,
61862,0.075,,,,
61863,0.075,,,,
61864,0.075,,,,
61865,0.065,,,,
61866,0.09,,,,
61870,0.065,,,,
61871,0.075,,,,
61872,0.075,,,,
61873,0.08,,,,
61874,0.08,,,,
61875,0.075,,,,
61876,0.065,,,,
61877,0.075,,,,
61878,0.075,,,,
61880,0.075,,,,
61882,0.0625,,,,
61883,0.065,,,,
61884,0.0725,,,,
61910,0.0775,,,,
61911,0.0725,,,,
61912,0.0725,,,,
61913,0.0725,,,,
61914,0.0675,,,,
61917,0.0725,,,,
61919,0.0725,,,,
61920,0.0775,,,,
61924,0.0725,,,,
61925,0.0775,,,,
61928,0.0675,,,,
61929,0.0725,,,,
61930,0.0725,,,,
61931,0.0725,,,,
61932,0.0725,,,,
61933,0.0725,,,,
61936,0.0725,,,,
61937,0.0675,,,,
61938,0.0775,,,,
61940,0.0725,,,,
61941,0.0725,,,,
61942,0.0725,,,,
61943,0.0725,,,,
61944,0.0775,,,,
61949,0.0725,,,,
61951,0.0675,,,,
61953,0.0775,,,,
61955,0.0725,,,,
61956,0.0825,,,,
61957,0.0725,,,,
62001,0.066,,,,
62002,0.0785,,,,
62006,0.08,,,,
62009,0.0725,,,,
62010,0.0685,,,,
62011,0.0625,,,,
62012,0.08,,,,
62013,0.08,,,,
62014,0.0725,,,,
62015,0.0725,,,,
62016,0.0725,,,,
62017,0.0725,,,,
62018,0.0685,,,,
62019,0.0725,,,,
62021,0.0685,,,,
62022,0.08,,,,
62023,0.0725,,,,
62024,0.0685,,,,
62025,0.071,,,,
62027,0.0725,,,,
62028,0.08,,,,
62030,0.08,,,,
62031,0.08,,,,
62032,0.0725,,,,
62033,0.0725,,,,
62034,0.071,,,,
62035,0.0685,,,,
62036,0.08,,,,
62037,0.08,,,,
62040,0.0835,,,,
62044,0.0725,,,,
62045,0.08,,,,
62046,0.066,,,,
62047,0.08,,,,
62048,0.0685,,,,
62049,0.0725,,,,
62050,0.0725,,,,
62051,0.0725,,,,
62052,0.085,,,,
62053,0.08,,,,
62054,0.0725,,,,
62056,0.0825,,,,
62058,0.066,,,,
62059,0.0735,,,,
62060,0.0685,,,,
62061,0.066,,,,
62062,0.0685,,,,
62063,0.0725,,,,
62067,0.0685,,,,
62069,0.0725,,,,
62071,0.0885,,,,
62074,0.066,,,,
62075,0.0725,,,,
62076,0.0725,,,,
62077,0.0725,,,,
62078,0.0725,,,,
62079,0.0725,,,,
62080,0.0725,,,,
62081,0.0725,,,,
62082,0.0725,,,,
62083,0.0725,,,,
62084,0.0685,,,,
62085,0.0725,,,,
62086,0.0725,,,,
62087,0.0685,,,,
62088,0.0725,,,,
62089,0.0725,,,,
62090,0.0685,,,,
62091,0.0725,,,,
62092,0.0725,,,,
62093,0.0725,,,,
62094,0.0725,,,,
62095,0.0685,,,,
62097,0.066,,,,
62098,0.0725,,,,
62201,0.0885,,,,
62202,0.0885,,,,
62203,0.0885,,,,
62204,0.0885,,,,
62205,0.0885,,,,
62206,0.081,,,,
62207,0.0735,,,,
62208,0.0835,,,,
62214,0.0625,,,,
62215,0.0625,,,,
62216,0.0625,,,,
62217,0.0725,,,,
62218,0.0625,,,,
62219,0.0625,,,,
62220,0.081,,,,
62221,0.0735,,,,
62222,0.081,,,,
62223,0.0735,,,,
62225,0.0735,,,,
62226,0.081,,,,
62230,0.0625,,,,
62231,0.0625,,,,
62232,0.0735,,,,
62233,0.0725,,,,
62234,0.081,,,,
62236,0.075,,,,
62237,0.0725,,,,
62238,0.0775,,,,
62239,0.0735,,,,
62240,0.0735,,,,
62241,0.0725,,,,
62242,0.0725,,,,
62243,0.066,,,,
62244,0.075,,,,
62245,0.0625,,,,
62246,0.0775,,,,
62248,0.075,,,,
62249,0.0785,,,,
62250,0.0625,,,,
62252,0.0625,,,,
62253,0.0675,,,,
62254,0.0785,,,,
62255,0.0735,,,,
62256,0.075,,,,
62257,0.066,,,,
62258,0.076,,,,
62259,0.0725,,,,
62260,0.066,,,,
62261,0.0725,,,,
62262,0.0725,,,,
62263,0.0625,,,,
62264,0.0735,,,,
62265,0.0675,,,,
62266,0.0625,,,,
62268,0.0625,,,,
62269,0.0785,,,,
62271,0.0625,,,,
62272,0.0725,,,,
62273,0.0725,,,,
62274,0.0775,,,,
62275,0.0725,,,,
62277,0.075,,,,
62278,0.0725,,,,
62279,0.075,,,,
62280,0.0725,,,,
62281,0.0685,,,,
62282,0.066,,,,
62284,0.0725,,,,
62285,0.0735,,,,
62286,0.0825,,,,
62288,0.0725,,,,
62289,0.0735,,,,
62292,0.0725,,,,
62293,0.065,,,,
62294,0.0685,,,,
62295,0.075,,,,
62297,0.0725,,,,
62298,0.075,,,,
62301,0.08,,,,
62305,0.065,,,,
62306,0.065,,,,
62311,0.0625,,,,
62312,0.0775,,,,
62313,0.0625,,,,
62314,0.0775,,,,
62316,0.0625,,,,
62319,0.0725,,,,
62320,0.065,,,,
62321,0.0675,,,,
62323,0.0775,,,,
62324,0.065,,,,
62325,0.065,,,,
62326,0.08,,,,
62329,0.0625,,,,
62330,0.0625,,,,
62334,0.0625,,,,
62336,0.0625,,,,
62338,0.065,,,,
62339,0.065,,,,
62340,0.0775,,,,
62341,0.0625,,,,
62343,0.0775,,,,
62344,0.0725,,,,
62345,0.0775,,,,
62346,0.065,,,,
62347,0.065,,,,
62348,0.065,,,,
62349,0.065,,,,
62351,0.065,,,,
62352,0.0775,,,,
62353,0.075,,,,
62354,0.07,,,,
62355,0.0775,,,,
62356,0.0775,,,,
62357,0.0775,,,,
62358,0.0625,,,,
62359,0.065,,,,
62360,0.065,,,,
62361,0.0775,,,,
62362,0.0775,,,,
62363,0.0775,,,,
62365,0.065,,,,
62366,0.0775,,,,
62367,0.0625,,,,
62370,0.0775,,,,
62373,0.0625,,,,
62374,0.08,,,,
62375,0.075,,,,
62376,0.065,,,,
62378,0.075,,,,
62379,0.0625,,,,
62380,0.0625,,,,
62401,0.065,,,,
62410,0.0725,,,,
62411,0.065,,,,
62413,0.0625,,,,
62414,0.065,,,,
62417,0.0725,,,,
62418,0.0625,,,,
62419,0.0675,,,,
62420,0.0725,,,,
62421,0.0675,,,,
62422,0.0725,,,,
